Tick,Attribute.Component,Origin,Failed Behaviour
0.0,power.motor,power.motor,
0.0,power.heater,power.heater,
0.0,temperature.heater,temperature.heater,
1.0,geometry.motor,geometry.motor,
1.0,temperature.motor,temperature.heater,
2.0,geometry.fan,geometry.fan,
2.0,material.heater,material.heater,
2.0,geometry.fan,power.heater,
2.0,geometry.heater,power.heater,
2.0,material.nozzle,power.heater,
2.0,geometry.body,temperature.heater,
2.0,material.body,material.body,
3.0,material.motor,material.motor,
3.0,geometry.nozzle,temperature.motor,
3.0,power.fan,power.fan,
3.0,geometry.motor,power.heater,
3.0,material.body,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
