Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.motor,geometry.motor,
0.0,power.fan,power.fan,
0.0,material.heater,material.heater,
1.0,material.motor,material.motor,
1.0,temperature.motor,temperature.motor,
1.0,geometry.fan,geometry.fan,
1.0,material.body,power.fan,
2.0,power.motor,power.motor,
2.0,temperature.heater,temperature.motor,
2.0,geometry.motor,power.fan,
2.0,geometry.nozzle,power.fan,
2.0,material.heater,material.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
