Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.fan,geometry.fan,
0.0,geometry.body,geometry.body,
0.0,material.body,material.body,
1.0,temperature.motor,temperature.motor,
1.0,rot.speed.fan,rot.speed.fan,
2.0,power.heater,geometry.fan,
2.0,geometry.nozzle,geometry.nozzle,
2.0,temperature.heater,geometry.body,
2.0,material.nozzle,geometry.body,
2.0,geometry.heater,material.body,
2.0,temperature.heater,material.body,
2.0,geometry.nozzle,material.body,
3.0,temperature.heater,temperature.motor,
3.0,geometry.nozzle,temperature.motor,
3.0,geometry.motor,geometry.fan,
3.0,geometry.heater,geometry.fan,
3.0,material.nozzle,rot.speed.fan,
3.0,material.heater,material.heater,
3.0,temperature.motor,material.body,
3.0,material.nozzle,material.body,
3.0,temperature.nozzle,material.body,
4.0,material.motor,material.motor,
4.0,power.motor,power.motor,
4.0,power.fan,geometry.fan,
4.0,temperature.nozzle,rot.speed.fan,
4.0,material.motor,geometry.heater,
4.0,geometry.heater,power.heater,
4.0,material.nozzle,power.heater,
4.0,material.body,geometry.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
