Tick,Attribute.Component,Origin,Failed Behaviour
0.0,material.motor,material.motor,
0.0,power.fan,power.fan,
0.0,temperature.heater,temperature.heater,
1.0,geometry.heater,material.motor,
1.0,material.body,power.fan,
1.0,material.body,temperature.heater,
2.0,power.motor,power.motor,
2.0,geometry.fan,geometry.fan,
2.0,rot.speed.fan,rot.speed.fan,
2.0,material.fan,material.fan,
2.0,geometry.nozzle,power.fan,
2.0,temperature.motor,temperature.heater,
2.0,material.nozzle,material.body,
3.0,geometry.motor,geometry.motor,
3.0,power.heater,power.fan,
3.0,temperature.heater,power.fan,
3.0,power.heater,material.nozzle,
3.0,geometry.heater,material.body,
3.0,geometry.nozzle,material.body,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
