Tick,Attribute.Component,Origin,Failed Behaviour
0.0,geometry.fan,geometry.fan,
0.0,material.heater,material.heater,
1.0,material.motor,material.motor,
1.0,material.fan,material.fan,
1.0,power.fan,power.fan,
1.0,power.heater,power.heater,
1.0,temperature.heater,temperature.heater,
2.0,power.motor,power.motor,
2.0,rot.speed.fan,rot.speed.fan,
2.0,material.body,power.fan,
2.0,material.heater,material.heater,
2.0,material.nozzle,power.heater,
2.0,temperature.nozzle,temperature.heater,
3.0,geometry.heater,material.motor,
3.0,power.heater,material.motor,
3.0,geometry.motor,geometry.fan,
3.0,geometry.motor,power.fan,
3.0,geometry.nozzle,power.fan,
3.0,geometry.body,temperature.heater,
3.0,material.body,temperature.heater,
,,,"`Movement failed cause conditions where achivied: ['material', 'power', 'geometry'] FAILED"
